symptoms,disease,severity,advice,specialist
excessive worry insomnia muscle tension,GAD,Medium,Relaxation techniques and therapy,Psychiatrist
persistent fever dry cough fatigue,COVID-19,High,Isolate hydrate and consult doctor,Pulmonologist
runny nose sneezing watery eyes,Seasonal Allergy,Low,Avoid allergens and take antihistamines,Allergist
ear ringing dizziness hearing loss,Labyrinthitis,Medium,Consult ENT specialist,ENT Specialist
fever body ache sore throat,Influenza,Medium,Rest hydrate and take medication,General Physician
lower abdominal pain painful urination,Bladder Infection,Medium,Increase fluids and consult doctor,Urologist
swollen gums bleeding gums tooth pain,Gingivitis,Low,Improve oral hygiene and visit dentist,Dentist
difficulty breathing chest pain cough,COPD,High,Stop smoking and use inhalers,Pulmonologist
fatigue dry skin constipation,Hypothyroidism,Medium,Check thyroid hormone levels,Endocrinologist
excessive sweating tremors rapid pulse,Hyperthyroidism,Medium,Consult endocrinologist,Endocrinologist
painful swallowing fever throat redness,Pharyngitis,Low,Warm fluids and antibiotics if needed,ENT Specialist
itchy scalp hair fall dandruff,Fungal Infection,Low,Use antifungal shampoo,Dermatologist
severe thirst confusion fruity breath,Diabetic Ketoacidosis,Critical,Emergency medical attention,Endocrinologist
pain in lower back burning urination,Kidney Stones,High,Hydration and medical consultation,Urologist
dry mouth fatigue blurred vision,Dehydration,Medium,Increase water intake,General Physician
persistent sadness insomnia hopelessness,Major Depression,High,Seek psychiatric help,Psychiatrist
rapid breathing chest tightness anxiety,Panic Attack,Medium,Relaxation techniques and therapy,Psychiatrist
difficulty sleeping daytime fatigue,Insomnia,Low,Improve sleep hygiene,Psychiatrist
leg pain swelling redness,DVT,High,Immediate medical consultation,Vascular Specialist
high fever stiff muscles confusion,Tetanus,Critical,Emergency medical care,Infectious Disease Specialist
painful skin blisters fever,Chickenpox,Medium,Rest and antiviral medication,Dermatologist
weight gain fatigue cold intolerance,Hormonal Imbalance,Medium,Consult endocrinologist,Endocrinologist
eye redness blurred vision discharge,Eye Infection,Low,Use prescribed eye drops,Ophthalmologist
persistent abdominal pain bloating,Ovarian Cyst,Medium,Consult gynecologist,Gynecologist
frequent headaches nausea dizziness,Vertigo,Medium,Consult ENT specialist,ENT Specialist
vomiting diarrhea stomach cramps,Gastroenteritis,Medium,Hydration and bland diet,Gastroenterologist
difficulty concentrating memory loss fatigue,Brain Fog,Medium,Rest hydration and medical evaluation,Neurologist
joint stiffness fatigue fever,Rheumatoid Arthritis,High,Consult rheumatologist,Rheumatologist
high fever rash red eyes,Measles,High,Isolation and medical supervision,Infectious Disease Specialist
persistent cough wheezing mucus,Bronchitis,Medium,Rest and avoid smoking,Pulmonologist
painful rash along nerves,Herpes Zoster,Medium,Antiviral medication,Dermatologist
loss of smell fever cough,COVID Variant,High,Testing and isolation,Pulmonologist
excessive hunger thirst frequent urination,Type 2 Diabetes,Medium,Monitor sugar and consult doctor,Endocrinologist
muscle pain weakness fever,Viral Infection,Low,Rest hydration and observation,General Physician
fainting dizziness low blood pressure,Hypotension,Medium,Increase salt and fluid intake,Cardiologist
persistent vomiting severe dehydration,Cholera,Critical,Emergency hydration and antibiotics,Gastroenterologist
painful menstrual cramps nausea,Dysmenorrhea,Low,Pain relief and rest,Gynecologist
chronic fatigue muscle pain insomnia,Fibromyalgia,Medium,Exercise therapy and medication,Rheumatologist
fever abdominal pain vomiting,Appendicitis,Critical,Emergency surgery consultation,General Surgeon
swollen lymph nodes fever fatigue,Mononucleosis,Medium,Rest and hydration,General Physician
night sweats weight loss swollen glands,Lymphoma,Critical,Consult oncologist immediately,Oncologist
shortness of breath swollen ankles fatigue,Heart Failure,High,Consult cardiologist immediately,Cardiologist
blurred vision excessive thirst fatigue,Diabetes Mellitus,Medium,Monitor glucose levels,Endocrinologist
skin redness pus swelling,Bacterial Skin Infection,Medium,Antibiotics and hygiene,Dermatologist
persistent diarrhea weight loss fatigue,Celiac Disease,Medium,Gluten-free diet,Gastroenterologist
severe headache nausea stiff neck,Brain Infection,Critical,Emergency neurological care,Neurologist
abdominal pain fever yellow eyes,Gallstones,High,Consult gastroenterologist,Gastroenterologist
difficulty speaking facial droop weakness,Stroke,Critical,Immediate emergency help,Neurologist
cough blood chest pain fever,Tuberculosis,High,TB treatment under supervision,Pulmonologist
joint pain rash fever,Lyme Disease,Medium,Antibiotic therapy,Infectious Disease Specialist
skin peeling fever rash,Stevens Johnson Syndrome,Critical,Emergency dermatology care,Dermatologist
fever cough breathing issues,Pneumonia,High,Antibiotics and rest,Pulmonologist
swollen painful joints redness,Gout,Medium,Reduce uric acid and medication,Rheumatologist
burning chest pain after meals,Acid Reflux,Low,Avoid spicy foods,Gastroenterologist
weight loss rapid heartbeat sweating,Thyroid Disorder,Medium,Consult endocrinologist,Endocrinologist
persistent constipation abdominal bloating,Constipation,Low,Increase fiber and fluids,Gastroenterologist
dry eyes dry mouth joint pain,Sjogrens Syndrome,Medium,Consult rheumatologist,Rheumatologist
fever severe cough low oxygen,COVID Pneumonia,Critical,Hospitalization may be required,Pulmonologist
painful swollen tonsils fever,Tonsil Infection,Medium,Warm fluids and antibiotics,ENT Specialist
painful urination lower belly pain,UTI,Medium,Hydration and antibiotics,Urologist
difficulty breathing after exercise,Exercise Induced Asthma,Medium,Use inhaler before exercise,Pulmonologist
swelling face itching hives,Allergic Reaction,Medium,Antihistamines and avoid allergen,Allergist
fatigue dizziness low iron,Iron Deficiency,Medium,Iron supplements and diet,Hematologist
blood in stool abdominal pain,Ulcerative Colitis,High,Consult gastroenterologist,Gastroenterologist
persistent sadness suicidal thoughts,Severe Depression,Critical,Immediate psychiatric support,Psychiatrist
itching redness flaky scalp,Scalp Psoriasis,Low,Use medicated shampoo,Dermatologist
rapid heartbeat chest discomfort,Palpitations,Medium,Monitor heart rhythm,Cardiologist
painful eye redness blurred vision,Uveitis,High,Consult ophthalmologist,Ophthalmologist
fever cough sore muscles,Respiratory Infection,Medium,Rest and hydration,General Physician
difficulty swallowing chest burning,GERD,Low,Avoid acidic foods,Gastroenterologist
muscle cramps dehydration dizziness,Heat Exhaustion,High,Cool down and hydrate immediately,Emergency Medicine
high fever confusion seizures,Encephalitis,Critical,Emergency neurological treatment,Neurologist
abdominal swelling yellow skin,Liver Cirrhosis,High,Avoid alcohol and consult hepatologist,Hepatologist
itchy watery eyes sneezing,Pollen Allergy,Low,Avoid pollen exposure,Allergist
swollen painful gums fever,Dental Infection,Medium,Dental consultation required,Dentist
persistent fatigue low mood poor sleep,Chronic Fatigue Syndrome,Medium,Rest and therapy,General Physician
painful breast lump discharge,Breast Infection,High,Consult gynecologist,Gynecologist
bone pain fatigue anemia,Multiple Myeloma,Critical,Hematology consultation,Hematologist
nausea vomiting dizziness motion sickness,Motion Sickness,Low,Rest and anti-nausea medication,General Physician
difficulty breathing blue lips,Respiratory Failure,Critical,Emergency hospitalization,Pulmonologist
red swollen painful eye,Conjunctivitis,Low,Use antibiotic eye drops,Ophthalmologist
persistent thirst dry skin fatigue,Hyperglycemia,High,Monitor glucose and hydrate,Endocrinologist
cough fever chest congestion,Chest Infection,Medium,Antibiotics and rest,Pulmonologist
joint pain fatigue butterfly rash,Lupus,High,Consult rheumatologist,Rheumatologist
difficulty focusing hyperactivity restlessness,ADHD,Medium,Behavioral therapy,Psychiatrist
chronic cough mucus smoker,COPD,High,Smoking cessation and inhalers,Pulmonologist
painful urination fever flank pain,Pyelonephritis,High,Antibiotics and hydration,Nephrologist
muscle weakness numbness tingling,Multiple Sclerosis,High,Consult neurologist,Neurologist
persistent fever swollen glands sore throat,Mono,Medium,Rest and hydration,General Physician
fever severe dehydration diarrhea,Rotavirus Infection,High,Hydration therapy,Pediatrician
painful skin abscess swelling,Boil Infection,Medium,Warm compress and antibiotics,Dermatologist
difficulty breathing cough mucus,Chronic Bronchitis,High,Avoid smoking and consult doctor,Pulmonologist
rapid breathing confusion chest pain,Pulmonary Embolism,Critical,Emergency medical attention,Cardiologist
abdominal pain nausea constipation,Bowel Obstruction,Critical,Emergency surgery consultation,General Surgeon
painful urination blood in urine,Kidney Disease,High,Consult nephrologist,Nephrologist
sneezing congestion sinus pressure,Sinusitis,Low,Steam inhalation and rest,ENT Specialist
difficulty moving joints swelling,Osteoarthritis,Medium,Physiotherapy and pain management,Orthopedic
persistent fever skin rash joint pain,Autoimmune Disease,High,Consult rheumatologist,Rheumatologist
chest pain fatigue swollen legs,Cardiomyopathy,High,Cardiology evaluation required,Cardiologist
fever abdominal cramps diarrhea,Intestinal Infection,Medium,Hydration and antibiotics,Gastroenterologist
persistent cough shortness of breath,Lung Disorder,High,Consult pulmonologist,Pulmonologist
swollen neck glands sore throat,Lymph Node Infection,Medium,Consult doctor and rest,General Physician
